"geo\time","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011",""
"Netherlands",76.099999999999994,"",74.099999999999994,"",68.200000000000003,"",65.700000000000003,"",61.100000000000001,"",53.799999999999997,"",50.700000000000003,"",50.5,"",52.0,"",52.399999999999999,"",51.799999999999997,"",47.399999999999999,"",45.299999999999997,"",58.5,"",60.799999999999997,"",62.899999999999999,"",65.200000000000003,""
"Austria",68.200000000000003,"",68.099999999999994,"",64.099999999999994,"",64.400000000000006,"",66.799999999999997,"",66.200000000000003,"",66.799999999999997,"",66.200000000000003,"",65.299999999999997,"",64.700000000000003,"",64.200000000000003,"",62.299999999999997,"",60.200000000000003,"",63.799999999999997,"",69.5,"",71.900000000000006,"",72.200000000000003,""
"Poland",49.0,"",43.399999999999999,"",42.899999999999999,"",38.899999999999999,"",39.600000000000001,"",36.799999999999997,"",37.600000000000001,"",42.200000000000003,"",47.100000000000001,"",45.700000000000003,"",47.100000000000001,"",47.700000000000003,"",45.0,"",47.100000000000001,"",50.899999999999999,"",54.799999999999997,"",56.299999999999997,""
"Portugal",59.200000000000003,"",58.299999999999997,"",54.399999999999999,"",50.399999999999999,"",49.600000000000001,"",48.5,"",51.200000000000003,"",53.799999999999997,"",55.899999999999999,"",57.600000000000001,"",62.799999999999997,"",63.899999999999999,"",68.299999999999997,"",71.599999999999994,"",83.099999999999994,"",93.299999999999997,"",107.8,""
"Romania",6.5999999999999996,"",10.6,"",15.0,"",16.800000000000001,"",21.699999999999999,"",22.5,"",25.699999999999999,"",24.899999999999999,"",21.5,"",18.699999999999999,"",15.800000000000001,"",12.4,"",12.800000000000001,"",13.4,"",23.600000000000001,"",30.5,"",33.299999999999997,""
"Slovenia",18.600000000000001,"",21.899999999999999,"",22.399999999999999,"",23.100000000000001,"",24.100000000000001,"",26.300000000000001,"",26.5,"",27.800000000000001,"",27.199999999999999,"",27.300000000000001,"",26.699999999999999,"",26.399999999999999,"",23.100000000000001,"",21.899999999999999,"",35.299999999999997,"",38.799999999999997,"",47.600000000000001,""
"Slovakia",22.100000000000001,"",31.100000000000001,"",33.700000000000003,"",34.5,"",47.799999999999997,"",50.299999999999997,"",48.899999999999999,"",43.399999999999999,"",42.399999999999999,"",41.5,"",34.200000000000003,"",30.5,"",29.600000000000001,"",27.899999999999999,"",35.600000000000001,"",41.100000000000001,"",43.299999999999997,""
"Finland",56.600000000000001,"",57.0,"",53.899999999999999,"",48.399999999999999,"",45.700000000000003,"",43.799999999999997,"",42.5,"",41.5,"",44.5,"",44.399999999999999,"",41.700000000000003,"",39.600000000000001,"",35.200000000000003,"",33.899999999999999,"",43.5,"",48.399999999999999,"",48.600000000000001,""
"Sweden",72.799999999999997,"",73.299999999999997,"",71.200000000000003,"",69.900000000000006,"",64.299999999999997,"",53.899999999999999,"",54.700000000000003,"",52.5,"",51.700000000000003,"",50.299999999999997,"",50.399999999999999,"",45.0,"",40.200000000000003,"",38.799999999999997,"",42.600000000000001,"",39.399999999999999,"",38.399999999999999,""
"United Kingdom",51.200000000000003,"",51.299999999999997,"",49.799999999999997,"",46.700000000000003,"",43.700000000000003,"",41.0,"",37.700000000000003,"",37.5,"",39.0,"",40.899999999999999,"",42.5,"",43.399999999999999,"",44.399999999999999,"",54.799999999999997,"",69.599999999999994,"",79.599999999999994,"",85.700000000000003,""
"Iceland",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",26.0,"",27.899999999999999,"",28.5,"",70.299999999999997,"",87.900000000000006,"",93.099999999999994,"",98.799999999999997,""
"Liechtenstein",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":",""
"Norway",":","",":","",":","",":","",":","",":","",29.199999999999999,"",36.100000000000001,"",44.299999999999997,"",45.600000000000001,"",44.5,"",55.399999999999999,"",51.5,"",48.200000000000003,"",43.5,"",43.700000000000003,"",29.0,""
"Switzerland",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":",""
"Montenegro",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":",""
"Croatia",":","",":","",":","",":","",":","",":","",":","",40.0,"",40.899999999999999,"",43.200000000000003,"",43.700000000000003,"",35.5,"",32.899999999999999,"",28.899999999999999,"",35.299999999999997,"",":","",":",""
"Former Yugoslav Republic of Macedonia, the",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":","",":",""
"Turkey",":","",":","",":","",":","",":","",":","",104.40000000000001,"",93.0,"",85.099999999999994,"",59.200000000000003,"",52.299999999999997,"",46.100000000000001,"",39.399999999999999,"",39.5,"",45.399999999999999,"",":","",":",""
